Student_ID,Age,Gender,Study_Hours_per_Week,Preferred_Learning_Style,Online_Courses_Completed,Participation_in_Discussions,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate (%),Use_of_Educational_Tech,Self_Reported_Stress_Level,Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night,Final_Grade
S00001,18,female,48,kinesthetic,14,yes,100.0,69.0,66.0,yes,high,9,8,C
S00002,29,female,30,reading/writing,20,no,71.0,40.0,57.0,yes,medium,28,8,D
S00003,20,female,47,kinesthetic,11,no,60.0,43.0,79.0,yes,low,13,7,D
S00004,23,female,13,auditory,0,yes,63.0,70.0,60.0,yes,low,24,10,B
S00005,19,female,24,auditory,19,yes,59.0,63.0,93.0,yes,medium,26,8,C
S00006,28,female,26,kinesthetic,5,yes,63.0,54.0,80.0,no,high,25,8,D
S00007,19,female,49,reading/writing,13,yes,91.0,44.0,66.0,yes,low,30,10,D
S00008,27,male,14,reading/writing,5,yes,88.0,56.0,76.0,yes,low,4,6,C
S00009,22,male,45,visual,16,no,52.0,78.0,70.0,no,low,26,9,B
S00010,28,other,35,auditory,7,no,100.0,55.0,100.0,no,medium,5,9,C
S00011,23,male,40,kinesthetic,20,no,74.0,44.0,93.0,no,medium,15,10,D
S00012,23,male,14,visual,18,yes,77.0,56.0,74.0,no,high,9,6,C
S00013,23,female,24,visual,4,no,67.0,73.0,93.0,yes,medium,28,7,B
S00014,27,male,44,reading/writing,20,no,80.0,60.0,51.0,yes,low,27,6,C
S00015,22,other,10,reading/writing,17,yes,67.0,71.0,55.0,yes,high,28,8,B
S00016,25,female,28,reading/writing,13,yes,85.0,90.0,76.0,yes,medium,5,8,A
S00017,19,male,11,visual,20,yes,81.0,93.0,93.0,no,medium,6,9,A
S00018,18,male,8,kinesthetic,9,yes,52.0,97.0,69.0,no,low,1,5,A
S00019,22,male,11,kinesthetic,11,no,50.0,74.0,96.0,yes,medium,13,7,B
S00020,19,female,28,auditory,19,no,50.0,64.0,80.0,yes,medium,20,8,C
S00021,19,male,30,reading/writing,0,yes,89.0,97.0,90.0,yes,low,26,10,A
S00022,20,male,48,visual,16,yes,81.0,76.0,82.0,yes,medium,29,9,B
S00023,18,female,14,reading/writing,4,yes,90.0,75.0,73.0,yes,high,12,9,B
S00024,25,male,41,reading/writing,6,yes,68.0,93.0,100.0,no,medium,23,7,A
S00025,25,female,36,visual,3,yes,96.0,83.0,66.0,yes,low,8,7,B
S00026,22,female,38,reading/writing,7,yes,91.0,61.0,50.0,yes,low,19,10,C
S00027,19,male,48,kinesthetic,1,yes,86.0,52.0,86.0,yes,low,30,9,D
S00028,19,male,40,auditory,16,yes,100.0,63.0,74.0,no,medium,29,7,C
S00029,24,female,39,kinesthetic,9,no,79.0,90.0,91.0,yes,medium,21,6,A
S00030,29,male,39,visual,5,no,76.0,41.0,79.0,no,low,20,5,D
S00031,20,male,23,kinesthetic,3,yes,59.0,57.0,81.0,yes,medium,9,5,C
S00032,22,female,6,auditory,18,no,85.0,80.0,76.0,no,medium,16,7,B
S00033,23,male,25,auditory,12,yes,55.0,63.0,85.0,yes,high,14,4,C
S00034,25,other,6,visual,10,yes,96.0,100.0,71.0,yes,medium,2,7,A
S00035,28,female,32,auditory,5,no,53.0,54.0,96.0,yes,high,0,10,D
S00036,19,male,41,auditory,12,yes,57.0,60.0,67.0,no,medium,15,5,C
S00037,26,female,26,kinesthetic,3,yes,53.0,48.0,76.0,no,low,19,4,D
S00038,20,female,11,visual,3,yes,58.0,73.0,62.0,no,medium,22,7,B
S00039,21,female,20,kinesthetic,1,yes,64.0,99.0,62.0,no,high,2,4,A
S00040,24,male,12,visual,8,yes,98.0,65.0,58.0,yes,medium,0,5,C
S00041,27,male,41,reading/writing,14,no,65.0,56.0,74.0,yes,low,26,9,C
S00042,28,female,46,kinesthetic,8,no,77.0,51.0,88.0,yes,low,23,5,D
S00043,25,other,24,auditory,19,no,90.0,93.0,54.0,yes,high,17,9,A
S00044,22,female,38,auditory,5,yes,96.0,54.0,92.0,no,high,16,5,D
S00045,20,female,45,visual,9,no,78.0,42.0,58.0,yes,low,24,8,D
S00046,28,other,6,visual,13,no,81.0,92.0,90.0,no,medium,6,10,A
S00047,26,female,23,visual,10,no,94.0,42.0,65.0,yes,medium,11,6,D
S00048,25,male,35,auditory,16,yes,50.0,83.0,88.0,yes,high,8,4,B
S00049,19,male,12,kinesthetic,5,yes,50.0,78.0,66.0,yes,low,0,8,B
S00050,25,female,38,kinesthetic,6,yes,88.0,76.0,100.0,yes,low,12,9,B
S00051,19,male,44,auditory,17,yes,98.0,44.0,66.0,yes,high,4,4,D
S00052,21,female,33,visual,9,yes,99.0,87.0,79.0,no,high,21,7,A
S00053,23,female,26,visual,3,yes,62.0,64.0,71.0,yes,low,10,6,C
S00054,19,male,47,kinesthetic,2,no,52.0,44.0,84.0,yes,medium,11,10,D
S00055,25,male,39,reading/writing,15,yes,88.0,89.0,63.0,no,medium,5,5,A
S00056,23,male,21,visual,1,yes,89.0,59.0,74.0,yes,medium,18,8,C
S00057,21,female,5,visual,19,yes,71.0,69.0,77.0,yes,high,30,6,C
S00058,29,male,19,reading/writing,5,no,53.0,85.0,71.0,no,medium,29,9,A
S00059,29,female,36,reading/writing,17,yes,52.0,46.0,51.0,yes,low,27,7,D
S00060,20,male,14,kinesthetic,2,yes,52.0,83.0,77.0,yes,high,19,9,B
S00061,25,female,41,kinesthetic,6,yes,59.0,69.0,53.0,no,low,11,6,C
S00062,26,female,32,reading/writing,7,yes,71.0,94.0,89.0,no,low,18,10,A
S00063,18,male,21,kinesthetic,12,yes,100.0,55.0,75.0,no,medium,28,4,C
S00064,20,female,21,kinesthetic,10,yes,72.0,44.0,83.0,yes,low,12,6,D
S00065,24,female,31,kinesthetic,6,yes,88.0,60.0,77.0,yes,low,11,6,C
S00066,24,female,9,kinesthetic,11,no,88.0,95.0,87.0,no,medium,23,5,A
S00067,24,male,12,kinesthetic,14,no,57.0,57.0,73.0,yes,medium,4,7,C
S00068,27,male,42,auditory,11,no,83.0,66.0,60.0,no,medium,21,7,C
S00069,19,male,11,visual,3,no,91.0,73.0,73.0,no,medium,2,9,B
S00070,18,female,35,visual,2,no,96.0,54.0,96.0,yes,high,5,9,D
S00071,22,male,9,reading/writing,7,yes,53.0,72.0,87.0,no,medium,10,8,B
S00072,20,female,46,visual,13,no,55.0,45.0,52.0,no,medium,7,7,D
S00073,23,male,9,visual,3,yes,53.0,83.0,78.0,no,low,2,8,B
S00074,19,male,7,auditory,12,no,79.0,76.0,72.0,yes,medium,10,5,B
S00075,25,male,22,visual,6,no,75.0,88.0,68.0,no,medium,19,9,A
S00076,29,female,34,auditory,3,yes,53.0,47.0,99.0,no,medium,27,6,D
S00077,25,female,31,reading/writing,11,yes,76.0,80.0,69.0,yes,low,24,5,B
S00078,23,male,38,kinesthetic,0,yes,62.0,93.0,96.0,yes,medium,5,6,A
S00079,26,male,39,reading/writing,15,no,88.0,53.0,57.0,yes,high,13,8,D
S00080,25,female,23,visual,5,yes,62.0,76.0,61.0,yes,high,0,6,B
S00081,24,male,43,reading/writing,16,yes,61.0,54.0,63.0,yes,low,23,8,D
S00082,20,female,34,kinesthetic,18,no,76.0,57.0,61.0,yes,medium,25,5,C
S00083,23,male,12,visual,8,yes,75.0,70.0,52.0,yes,low,10,8,B
S00084,28,female,28,reading/writing,0,yes,98.0,99.0,99.0,yes,medium,1,4,A
S00085,18,male,23,reading/writing,0,no,89.0,81.0,70.0,yes,medium,13,9,B
S00086,19,female,35,kinesthetic,9,yes,90.0,61.0,92.0,no,medium,2,8,C
S00087,20,male,5,reading/writing,14,no,71.0,44.0,61.0,no,medium,2,5,D
S00088,29,female,11,visual,4,yes,74.0,59.0,80.0,no,medium,18,4,C
S00089,24,female,24,visual,9,yes,55.0,51.0,95.0,yes,medium,2,10,D
S00090,19,female,15,reading/writing,15,yes,61.0,94.0,54.0,no,high,20,10,A
S00091,25,female,40,auditory,15,yes,58.0,88.0,87.0,no,low,28,7,A
S00092,27,female,12,reading/writing,19,yes,58.0,92.0,86.0,no,low,26,5,A
S00093,26,male,8,kinesthetic,17,no,63.0,43.0,72.0,yes,medium,26,4,D
S00094,29,female,12,reading/writing,15,yes,57.0,74.0,57.0,no,medium,13,8,B
S00095,29,female,22,visual,6,no,100.0,61.0,87.0,yes,medium,19,5,C
S00096,19,male,25,visual,12,yes,80.0,94.0,52.0,yes,low,15,10,A
S00097,26,female,16,auditory,9,no,81.0,75.0,75.0,no,medium,19,9,B
S00098,28,female,39,reading/writing,13,no,100.0,100.0,96.0,yes,medium,15,8,A
S00099,22,female,34,reading/writing,17,no,86.0,44.0,95.0,yes,low,12,9,D
S00100,24,male,30,kinesthetic,7,no,80.0,93.0,80.0,yes,low,1,7,A
S00101,23,female,11,auditory,10,no,63.0,47.0,81.0,yes,low,0,4,D
S00102,26,male,16,reading/writing,14,yes,89.0,83.0,59.0,yes,high,12,4,B
S00103,20,male,47,auditory,5,no,73.0,68.0,59.0,yes,low,29,10,C
S00104,18,female,49,visual,6,no,91.0,55.0,59.0,yes,medium,19,8,C
S00105,26,male,16,kinesthetic,19,no,54.0,55.0,62.0,yes,high,15,5,C
S00106,19,female,38,kinesthetic,0,yes,74.0,40.0,68.0,no,medium,27,9,D
S00107,22,male,41,reading/writing,18,yes,56.0,54.0,81.0,yes,low,7,6,D
S00108,22,female,46,reading/writing,17,no,54.0,71.0,78.0,no,high,26,5,B
S00109,21,female,5,reading/writing,20,yes,63.0,84.0,54.0,yes,medium,14,8,B
S00110,23,female,23,reading/writing,7,yes,61.0,98.0,50.0,yes,low,4,4,A
S00111,23,male,10,reading/writing,17,no,52.0,61.0,51.0,yes,high,17,4,C
S00112,25,female,45,kinesthetic,20,yes,75.0,42.0,92.0,yes,medium,28,6,D
S00113,21,female,48,visual,6,yes,66.0,78.0,86.0,yes,medium,14,7,B
S00114,27,female,31,reading/writing,1,yes,79.0,57.0,58.0,no,low,20,7,C
S00115,24,male,33,auditory,18,yes,59.0,62.0,69.0,no,low,8,10,C
S00116,19,female,23,visual,6,no,56.0,59.0,81.0,yes,medium,27,10,C
S00117,28,female,23,visual,2,no,76.0,89.0,98.0,no,high,28,10,A
S00118,27,male,13,reading/writing,5,no,79.0,63.0,80.0,yes,medium,5,8,C
S00119,28,female,36,kinesthetic,0,no,52.0,48.0,68.0,yes,high,15,8,D
S00120,28,male,16,visual,10,yes,67.0,57.0,55.0,yes,high,30,10,C
S00121,21,female,15,kinesthetic,16,no,97.0,95.0,72.0,yes,medium,4,4,A
S00122,29,other,26,auditory,0,yes,73.0,65.0,79.0,no,medium,2,8,C
S00123,24,female,10,visual,2,no,61.0,40.0,75.0,no,low,23,5,D
S00124,25,female,30,auditory,4,no,58.0,81.0,57.0,yes,medium,27,8,B
S00125,21,female,48,kinesthetic,8,no,89.0,96.0,61.0,yes,high,11,6,A
S00126,25,female,24,visual,2,no,73.0,79.0,70.0,no,high,15,7,B
S00127,22,female,39,kinesthetic,6,yes,64.0,74.0,52.0,yes,medium,20,4,B
S00128,28,male,29,auditory,19,no,99.0,83.0,92.0,no,low,4,8,B
S00129,26,other,40,visual,2,yes,91.0,59.0,61.0,yes,medium,23,7,C
S00130,29,female,30,reading/writing,17,yes,92.0,77.0,52.0,no,medium,2,7,B
S00131,26,female,14,kinesthetic,16,yes,89.0,73.0,67.0,yes,low,6,5,B
S00132,28,male,32,kinesthetic,2,no,66.0,79.0,61.0,no,medium,20,8,B
S00133,21,male,10,kinesthetic,4,yes,58.0,58.0,88.0,yes,high,5,4,C
S00134,18,male,15,reading/writing,0,yes,97.0,64.0,57.0,yes,medium,7,9,C
S00135,20,male,11,kinesthetic,17,yes,95.0,97.0,92.0,no,medium,4,10,A
S00136,28,other,27,reading/writing,14,yes,83.0,45.0,74.0,yes,high,9,9,D
S00137,27,female,12,visual,5,yes,68.0,87.0,52.0,no,medium,19,8,A
S00138,18,male,14,visual,2,yes,84.0,80.0,84.0,no,low,7,9,B
S00139,21,female,42,kinesthetic,5,no,53.0,84.0,93.0,yes,low,16,4,B
S00140,27,female,40,visual,19,no,60.0,83.0,57.0,yes,low,21,10,B
S00141,23,female,21,auditory,11,no,79.0,56.0,84.0,yes,medium,13,5,C
S00142,27,male,17,auditory,6,no,100.0,68.0,96.0,yes,low,13,9,C
S00143,23,female,43,auditory,14,yes,67.0,83.0,80.0,yes,medium,15,7,B
S00144,23,female,7,auditory,11,no,73.0,95.0,59.0,yes,medium,8,8,A
S00145,21,male,23,visual,14,yes,89.0,70.0,96.0,yes,high,1,6,B
S00146,21,male,12,reading/writing,4,yes,76.0,44.0,93.0,yes,low,0,4,D
S00147,20,male,27,reading/writing,14,yes,63.0,45.0,73.0,yes,medium,27,6,D
S00148,21,female,17,visual,18,yes,93.0,92.0,53.0,yes,low,8,7,A
S00149,25,male,42,reading/writing,8,yes,70.0,88.0,86.0,yes,low,19,8,A
S00150,18,female,35,visual,1,no,60.0,76.0,85.0,yes,medium,18,6,B
S00151,20,female,37,reading/writing,13,yes,52.0,55.0,80.0,no,low,5,7,C
S00152,28,male,16,visual,2,yes,50.0,96.0,68.0,yes,medium,11,5,A
S00153,28,female,20,visual,11,yes,93.0,59.0,96.0,no,high,16,5,C
S00154,23,male,30,kinesthetic,18,no,68.0,80.0,77.0,yes,medium,23,5,B
S00155,21,male,30,auditory,10,no,68.0,53.0,69.0,yes,low,13,4,D
S00156,21,male,46,visual,19,no,91.0,92.0,91.0,no,medium,15,8,A
S00157,26,female,36,kinesthetic,11,yes,60.0,78.0,97.0,yes,high,18,4,B
S00158,20,female,45,visual,14,yes,62.0,74.0,58.0,yes,high,19,4,B
S00159,28,male,11,auditory,8,no,89.0,48.0,52.0,no,medium,2,5,D
S00160,23,male,42,reading/writing,8,no,84.0,54.0,55.0,yes,low,13,9,D
S00161,29,male,15,auditory,9,no,89.0,71.0,51.0,yes,medium,11,10,B
S00162,27,male,29,kinesthetic,18,yes,94.0,98.0,57.0,yes,low,29,9,A
S00163,18,female,6,kinesthetic,4,no,50.0,46.0,97.0,yes,medium,0,4,D
S00164,24,female,6,auditory,8,no,61.0,63.0,85.0,yes,medium,22,7,C
S00165,19,male,47,reading/writing,11,yes,56.0,72.0,52.0,yes,low,7,9,B
S00166,25,male,20,kinesthetic,10,yes,61.0,59.0,98.0,yes,medium,21,4,C
S00167,22,male,10,reading/writing,15,no,63.0,80.0,80.0,yes,low,19,4,B
S00168,20,male,49,visual,3,yes,69.0,47.0,56.0,yes,high,6,9,D
S00169,21,male,24,visual,0,yes,71.0,78.0,74.0,yes,medium,12,6,B
S00170,28,female,40,reading/writing,19,no,90.0,44.0,74.0,yes,low,18,9,D
S00171,29,male,8,visual,1,yes,91.0,92.0,83.0,no,low,3,10,A
S00172,22,male,5,auditory,3,yes,86.0,61.0,96.0,yes,low,7,4,C
S00173,27,male,35,auditory,8,no,81.0,53.0,76.0,no,low,22,4,D
S00174,27,other,21,visual,9,no,72.0,45.0,98.0,no,high,14,6,D
S00175,27,female,43,reading/writing,11,yes,66.0,80.0,99.0,yes,high,2,6,B
S00176,18,male,16,visual,20,yes,76.0,65.0,51.0,yes,medium,15,9,C
S00177,24,female,49,visual,7,no,64.0,53.0,63.0,yes,high,9,6,D
S00178,19,male,27,reading/writing,9,yes,53.0,41.0,64.0,yes,low,1,5,D
S00179,28,male,18,visual,12,no,74.0,73.0,93.0,yes,medium,21,10,B
S00180,29,female,31,visual,0,yes,80.0,94.0,61.0,yes,low,5,9,A
S00181,21,male,20,reading/writing,19,yes,59.0,53.0,74.0,yes,medium,22,4,D
S00182,28,male,39,kinesthetic,3,no,87.0,77.0,89.0,yes,low,8,4,B
S00183,27,male,26,reading/writing,9,no,51.0,65.0,67.0,no,medium,16,6,C
S00184,21,male,39,auditory,13,yes,70.0,75.0,82.0,no,low,4,10,B
S00185,23,male,28,auditory,12,yes,65.0,46.0,55.0,yes,medium,6,4,D
S00186,18,female,41,reading/writing,6,yes,61.0,87.0,70.0,yes,low,29,8,A
S00187,18,female,21,auditory,8,yes,87.0,48.0,55.0,no,medium,30,5,D
S00188,26,female,8,visual,2,no,88.0,96.0,74.0,yes,low,6,6,A
S00189,21,female,26,auditory,3,yes,62.0,81.0,90.0,no,medium,0,10,B
S00190,22,male,32,auditory,8,no,89.0,48.0,60.0,yes,low,29,4,D
S00191,23,female,13,visual,16,yes,95.0,86.0,51.0,yes,low,22,9,A
S00192,24,female,34,auditory,13,no,50.0,79.0,59.0,yes,medium,13,7,B
S00193,23,male,17,reading/writing,18,yes,85.0,54.0,70.0,yes,medium,12,4,D
